<><><><><><><><> 
Begin: 13-Mar-2014 10:24:28 
0.449 0.285 0.377 
0.767 0.285 0.285 
0.734 0.295 0.344 
0.633 0.284 0.284 
0.768 0.284 0.284 
0.734 0.284 0.284 
0.350 0.285 0.322 
0.300 0.295 0.344 
1.001 0.273 0.273 
0.334 0.296 0.519 
0.234 0.284 0.311 
0.652 0.295 0.343 
0.901 0.273 0.273 
0.734 0.284 0.284 
0.351 0.295 0.322 
0.501 0.295 0.322 
0.566 0.284 0.284 
0.984 0.295 0.377 
0.334 0.284 0.388 
0.884 0.295 0.399 
0.717 0.296 0.344 
0.500 0.295 0.333 
0.350 0.296 0.377 
0.551 0.284 0.284 
0.584 0.295 0.322 
0.300 0.295 0.421 
0.668 0.285 0.285 
0.384 0.296 0.344 
0.517 0.284 0.311 
0.667 0.295 0.409 
0.400 0.284 0.284 
0.434 0.297 0.312 
0.701 0.273 0.273 
0.417 0.295 0.366 
0.868 0.284 0.284 
0.984 0.295 0.333 
0.784 0.295 0.311 
0.484 0.285 0.377 
0.667 0.295 0.410 
0.284 0.295 0.311 
0.934 0.284 0.311 
0.901 0.295 0.295 
0.851 0.295 0.366 
0.417 0.284 0.399 
0.684 0.273 0.273 
0.217 0.296 0.355 
0.551 0.263 0.263 
0.449 0.295 0.295 
0.334 0.295 0.377 
0.351 0.284 0.310 
0.534 0.306 0.339 
0.284 0.284 0.333 
0.684 0.295 0.295 
0.584 0.284 0.284 
0.751 0.307 0.307 
0.767 0.284 0.322 
0.717 0.296 0.296 
0.233 0.295 0.344 
0.250 0.296 0.296 
0.450 0.296 0.296 
0.634 0.284 0.443 
0.734 0.285 0.344 
0.534 0.284 0.333 
0.851 0.307 0.328 
0.784 0.285 0.311 
0.984 0.285 0.312 
0.634 0.284 0.344 
0.467 0.295 0.366 
0.284 0.295 0.311 
0.684 0.306 0.306 
0.818 0.296 0.296 
0.534 0.306 0.306 
0.267 0.307 0.405 
0.417 0.295 0.432 
0.318 0.307 0.350 
0.434 0.285 0.344 
0.551 0.295 0.355 
0.617 0.295 0.295 
0.567 0.295 0.344 
0.901 0.295 0.295 
0.617 0.295 0.311 
0.951 0.296 0.333 
0.717 0.295 0.295 
0.968 0.273 0.273 
0.400 0.285 0.344 
0.751 0.197 0.197 
0.434 0.295 0.410 
0.734 0.296 0.432 
0.751 0.306 0.349 
0.250 0.306 0.394 
0.400 0.295 0.366 
0.384 0.295 0.295 
0.734 0.296 0.322 
0.884 0.284 0.333 
0.484 0.284 0.366 
0.834 0.285 0.312 
0.751 0.284 0.377 
0.200 0.306 0.361 
0.683 0.296 0.355 
0.517 0.285 0.333 
0.934 0.296 0.311 
0.200 0.295 0.388 
0.567 0.295 0.333 
0.534 0.306 0.328 
0.567 0.295 0.366 
0.818 0.295 0.312 
0.467 0.284 0.333 
0.834 0.295 0.333 
0.584 0.295 0.311 
0.234 0.296 0.399 
0.350 0.284 0.311 
0.784 0.295 0.344 
0.584 0.295 0.323 
0.318 0.307 0.349 
0.468 0.306 0.328 
0.684 0.295 0.399 
0.350 0.296 0.355 
0.801 0.284 0.311 
0.400 0.296 0.355 
0.934 0.295 0.295 
0.418 0.295 0.398 
0.817 0.296 0.322 
0.350 0.295 0.344 
0.434 0.295 0.334 
0.267 0.306 0.371 
0.667 0.262 0.262 
0.751 0.295 0.324 
0.634 0.295 0.333 
0.551 0.284 0.284 
<><><><><><><><> 
Overall acc:  0.51    Male acc:  0.52    Fem acc:  0.51 
RT (mean):  0.33 
Consist:  0.03 
<><><><><><><><> 
End: 13-Mar-2014 10:28:16 
