0,13,1,1,1,0.77059
0,111,2,1,0,0.87918
0,46,1,1,1,0.70504
1,102,2,2,1,0.75929
1,82,2,NaN,NaN,NaN
1,85,2,1,0,0.69401
1,80,2,2,1,0.62852
1,24,1,1,1,0.88032
0,52,1,1,1,0.62281
0,78,2,2,1,0.57383
1,103,2,1,0,0.84788
0,79,2,NaN,NaN,NaN
1,27,1,1,1,0.72737
0,92,2,NaN,NaN,NaN
0,89,2,2,1,0.71096
1,112,2,2,1,0.92395
1,55,1,1,1,0.73805
0,90,2,2,1,0.77018
1,20,1,1,1,0.69326
1,80,2,2,1,0.82561
1,83,2,2,1,0.66157
1,31,1,NaN,NaN,NaN
0,60,1,1,1,0.59564
0,36,1,1,1,0.66097
1,82,2,1,0,0.95588
0,25,1,1,1,0.61751
1,41,1,1,1,0.55236
1,37,1,2,0,0.80959
1,67,2,1,0,0.70548
1,97,2,2,1,0.74829
1,99,2,2,1,0.97908
0,72,2,2,1,0.9126
1,29,1,2,0,0.71624
1,53,1,1,1,0.62304
1,94,2,2,1,0.66683
1,54,1,1,1,0.73793
1,26,1,2,0,0.85766
0,3,1,1,1,0.85786
1,106,2,NaN,NaN,NaN
0,42,1,1,1,0.58429
0,101,2,1,0,0.43163
1,114,2,NaN,NaN,NaN
0,61,2,2,1,0.80369
1,11,1,2,0,0.58484
0,110,2,2,1,0.88036
1,19,1,1,1,0.63952
0,81,2,2,1,0.58432
0,87,2,2,1,0.49689
1,7,1,1,1,0.71608
1,35,1,2,0,0.74817
0,91,2,2,1,0.86305
1,105,2,2,1,0.66237
0,98,2,2,1,0.78228
0,58,1,1,1,0.51943
1,34,1,2,0,0.69407
1,43,1,NaN,NaN,NaN
1,110,2,2,1,0.87994
1,104,2,2,1,0.47541
0,50,1,1,1,0.43161
0,57,1,1,1,0.40983
1,66,2,2,1,0.54088
0,51,1,1,1,0.5744
0,56,1,1,1,0.42045
1,81,2,2,1,0.52089
0,16,1,1,1,0.36082
0,118,2,2,1,0.65034
1,117,2,2,1,0.72697
1,23,1,1,1,0.66131
0,109,2,1,0,0.7492
0,30,1,1,1,0.67254
1,108,2,2,1,0.68327
1,28,1,1,1,0.70497
0,115,2,NaN,NaN,NaN
0,46,1,1,1,0.75001
1,60,1,1,1,0.68289
1,96,2,2,1,0.70498
0,2,1,1,1,0.85836
1,6,1,1,1,0.82551
0,4,1,1,1,0.66168
1,49,1,NaN,NaN,NaN
1,115,2,1,0,0.81291
1,103,2,2,1,0.70508
0,101,2,NaN,NaN,NaN
1,39,1,NaN,NaN,NaN
0,42,1,1,1,0.56305
1,87,2,NaN,NaN,NaN
1,56,1,1,1,0.75988
0,89,2,2,1,0.66147
0,100,2,2,1,0.5793
0,1,1,1,1,0.62832
0,65,2,1,0,0.45428
0,10,1,1,1,0.67257
0,65,2,2,1,0.65642
1,73,2,2,1,0.78199
0,23,1,1,1,0.72725
0,20,1,1,1,0.66138
0,70,2,2,1,0.61636
0,17,1,1,1,0.94055
0,77,2,2,1,0.6606
1,11,1,2,0,0.61855
1,91,2,2,1,0.50597
0,37,1,1,1,0.9317
1,96,2,2,1,0.70523
0,44,1,NaN,NaN,NaN
0,68,2,NaN,NaN,NaN
0,8,1,1,1,0.63923
0,59,1,1,1,0.49745
0,79,2,2,1,0.65586
0,76,2,2,1,0.66639
0,71,2,2,1,0.81996
1,40,1,1,1,0.73177
1,66,2,1,0,0.4317
