88,79,1,1.0936
96,90,1,1.4006
73,104,2,1.3352
109,69,1,3.282
78,67,1,1.2158
96,118,2,3.6986
108,84,2,1.028
79,113,NaN,NaN
69,88,2,3.6548
107,103,1,1.1374
78,119,1,1.5764
116,84,1,1.8159
115,90,1,1.3132
112,99,1,1.3462
71,110,1,3.7097
112,69,1,1.117
82,66,2,1.0842
92,115,1,1.7734
78,79,2,3.1396
61,93,2,2.3534
95,98,2,1.1476
99,96,2,1.149
85,82,1,1.6961
110,86,2,2.6387
87,68,2,3.7306
101,67,2,2.614
86,62,2,1.6958
91,66,2,0.98484
97,78,NaN,NaN
114,79,2,2.3655
103,64,1,1.86
67,80,2,1.0944
99,83,2,1.2145
95,97,2,1.2255
100,82,1,1.7731
105,119,2,1.4107
70,90,1,1.291
64,119,2,1.6858
62,112,2,1.2149
82,74,2,1.3568
64,111,1,4.1348
116,93,2,1.0179
104,86,1,0.91949
107,82,1,1.1276
86,63,2,3.9265
93,92,1,2.1223
76,118,1,1.2592
100,113,2,1.5311
86,83,2,3.0638
107,67,1,1.6076
75,78,2,1.7515
65,94,1,1.7822
96,70,2,1.2366
120,98,2,1.9806
74,103,1,3.2063
98,100,1,2.8878
114,74,2,1.6627
99,63,2,0.98461
100,61,2,1.0288
94,107,2,2.6916
87,101,1,1.2255
81,66,2,1.149
104,69,1,0.96284
102,62,1,4.1022
113,77,2,1.8706
110,108,2,3.1081
73,102,2,1.8044
101,120,2,2.844
119,102,2,1.312
80,103,2,1.5204
82,116,2,1.7731
75,63,2,2.2307
115,110,NaN,NaN
95,69,1,1.2028
73,109,NaN,NaN
113,120,2,3.1077
93,101,1,0.95216
113,87,1,2.2437
96,66,2,1.3247
88,109,1,1.2581
66,101,1,1.0182
115,103,2,1.2253
118,69,1,1.5649
100,120,NaN,NaN
105,106,2,1.7722
75,66,1,0.90841
93,100,1,1.9258
73,75,2,2.0459
72,64,1,1.1274
81,117,1,1.0727
90,111,2,1.0834
83,91,2,2.5143
100,73,2,1.2681
99,65,2,1.0611
117,89,2,1.2694
85,111,2,3.6312
62,74,1,1.4777
99,111,2,0.84227
113,63,2,1.2357
93,105,1,1.0825
117,119,2,1.1943
108,103,2,1.2368
85,73,2,1.4988
109,83,1,1.5859
108,74,2,1.1928
119,83,2,1.0944
86,118,2,1.3458
103,111,1,3.8629
109,98,1,1.0175
117,107,2,1.0062
72,112,1,0.87499
75,77,1,2.2308
97,111,1,1.7619
103,84,1,2.0678
119,104,2,1.2468
106,108,1,1.6626
74,66,2,1.2131
110,117,1,1.3243
69,63,2,1.0399
81,88,2,1.0944
112,93,2,4.1253
106,92,1,1.2467
110,76,2,1.1393
113,108,2,2.3639
103,116,1,1.411
115,81,2,1.1385
87,64,2,1.2148
109,108,1,1.9019
71,81,2,2.0132
86,101,1,1.2697
95,66,2,0.99517
110,99,1,1.2037
87,77,2,1.7814
61,119,1,3.1624
106,89,1,3.1404
113,70,2,2.0355
120,82,2,3.208
114,77,2,1.4221
78,116,1,1.5754
93,71,1,3.8842
63,105,1,0.9956
77,107,2,1.4107
67,66,2,1.1608
83,80,2,2.3416
88,116,1,0.77688
83,62,2,1.4898
97,89,1,1.4009
71,61,2,1.1371
74,110,1,1.1829
91,89,2,2.4942
68,105,1,1.3787
85,100,1,1.0833
80,112,2,0.99532
103,119,1,2.1662
105,104,2,0.97381
108,114,1,2.2881
73,79,2,1.7943
71,95,NaN,NaN
83,66,2,1.313
96,94,2,1.301
67,86,2,1.2138
96,62,2,1.401
64,102,2,1.9593
86,68,2,1.1595
102,120,1,1.2255
106,78,1,1.652
102,80,1,2.3417
98,62,2,0.97368
94,91,1,1.0727
73,72,2,1.4226
65,92,1,1.3899
84,99,1,1.4008
114,87,1,1.787
90,83,2,2.9988
98,70,2,1.192
93,84,1,1.9033
82,75,2,1.2143
98,68,2,1.0616
82,78,2,1.2808
108,116,1,1.2368
87,66,2,1.072
120,107,2,1.2028
