<><><><><><><><> 
Begin: 04-Mar-2014 12:16:07 
0.450 0.285 0.377 
0.767 0.295 0.499 
0.735 0.296 0.497 
0.634 0.296 0.398 
0.768 0.285 0.421 
0.734 0.296 0.296 
0.350 0.284 0.738 
0.300 0.295 0.497 
1.001 0.296 0.498 
0.333 0.306 0.647 
0.234 0.285 0.497 
0.651 0.296 0.431 
0.902 0.306 0.427 
0.734 0.296 0.486 
0.350 0.296 0.729 
0.499 0.296 0.553 
0.567 0.298 0.377 
0.986 0.296 0.388 
0.334 0.284 0.475 
0.883 0.296 0.377 
0.717 0.295 0.388 
0.499 0.295 0.641 
0.350 0.295 0.455 
0.551 0.285 0.410 
0.583 0.296 0.464 
0.301 0.295 0.475 
0.667 0.306 0.492 
0.383 0.296 0.464 
0.517 0.285 0.356 
0.667 0.296 0.389 
0.401 0.296 0.487 
0.434 0.296 0.366 
0.702 0.285 0.431 
0.418 0.296 0.464 
0.867 0.285 0.497 
0.985 0.296 0.529 
0.785 0.296 0.453 
0.483 0.284 0.519 
0.666 0.296 0.421 
0.284 0.295 0.399 
0.934 0.284 0.487 
0.900 0.296 0.475 
0.850 0.306 0.471 
0.417 0.284 0.497 
0.684 0.285 0.476 
0.216 0.296 0.443 
0.550 0.285 0.486 
0.450 0.296 0.454 
0.333 0.295 0.443 
0.349 0.295 0.378 
0.535 0.296 0.355 
0.283 0.285 0.530 
0.683 0.296 0.497 
0.584 0.285 0.420 
0.766 0.284 0.388 
0.768 0.284 0.487 
0.716 0.295 0.454 
0.234 0.284 0.596 
0.249 0.307 0.427 
0.451 0.298 0.443 
0.634 0.284 0.464 
0.734 0.285 0.519 
0.534 0.284 0.475 
0.867 0.285 0.432 
0.784 0.285 0.530 
0.983 0.285 0.475 
0.633 0.284 0.454 
0.466 0.295 0.444 
0.283 0.295 0.399 
0.684 0.306 0.439 
0.818 0.306 0.427 
0.533 0.306 0.766 
0.267 0.307 0.459 
0.417 0.296 0.552 
0.333 0.285 0.629 
0.433 0.285 0.509 
0.550 0.296 0.333 
0.618 0.296 0.487 
0.567 0.295 0.389 
0.902 0.296 0.606 
0.617 0.295 0.651 
0.951 0.306 0.558 
0.716 0.295 0.519 
0.969 0.295 0.452 
0.399 0.285 0.541 
0.751 0.284 0.475 
0.434 0.295 0.519 
0.733 0.306 0.416 
0.751 0.306 0.371 
0.251 0.296 0.651 
0.400 0.297 0.488 
0.384 0.297 0.399 
0.734 0.296 0.453 
0.884 0.284 0.738 
0.484 0.284 0.990 
0.834 0.284 0.497 
0.751 0.285 0.388 
0.199 0.306 0.570 
0.684 0.296 0.420 
0.517 0.285 0.596 
0.934 0.295 0.485 
0.200 0.295 0.509 
0.567 0.295 0.377 
0.550 0.285 0.476 
0.567 0.296 1.001 
0.818 0.295 0.596 
0.467 0.284 0.486 
0.834 0.295 0.454 
0.584 0.295 0.596 
0.235 0.296 0.616 
0.350 0.284 0.585 
0.785 0.285 0.857 
0.584 0.295 0.617 
0.334 0.285 0.530 
0.483 0.284 0.476 
0.684 0.295 0.508 
0.350 0.296 0.464 
0.801 0.284 0.541 
0.401 0.285 0.574 
0.933 0.295 0.487 
0.418 0.296 0.497 
0.818 0.296 0.475 
0.350 0.295 0.465 
0.433 0.296 0.411 
0.283 0.284 0.508 
0.667 0.295 0.453 
0.751 0.295 0.399 
0.635 0.296 0.332 
0.551 0.285 0.530 
<><><><><><><><> 
Overall acc:  0.73    Male acc:  0.72    Fem acc:  0.74 
RT (mean):  0.50 
Consist:  0.13 
<><><><><><><><> 
End: 04-Mar-2014 12:20:36 
