<><><><><><><><> 
Begin: 08-Mar-2014 11:13:35 
0.450 0.284 0.355 
0.768 0.252 0.252 
0.734 0.251 0.251 
0.634 0.295 0.333 
0.767 0.241 0.241 
0.734 0.240 0.240 
0.350 0.284 0.541 
0.300 0.295 0.410 
1.001 0.274 0.274 
0.334 0.296 0.552 
0.233 0.284 0.377 
0.651 0.274 0.274 
0.918 0.284 0.464 
0.735 0.296 0.409 
0.351 0.295 0.485 
0.502 0.295 0.343 
0.567 0.295 0.377 
0.985 0.230 0.230 
0.334 0.284 0.333 
0.884 0.295 0.431 
0.717 0.295 0.475 
0.501 0.295 0.366 
0.350 0.295 0.442 
0.551 0.219 0.219 
0.584 0.262 0.262 
0.300 0.295 0.443 
0.667 0.011 0.011 
0.384 0.295 0.366 
0.517 0.284 0.344 
0.667 0.066 0.066 
0.400 0.295 0.295 
0.434 0.251 0.251 
0.701 0.274 0.274 
0.417 0.295 0.399 
0.868 0.240 0.240 
0.984 0.251 0.251 
0.784 0.066 0.066 
0.484 0.284 0.333 
0.668 0.230 0.230 
0.284 0.295 0.322 
0.933 0.263 0.263 
0.901 0.251 0.251 
0.851 0.295 0.333 
0.417 0.274 0.274 
0.683 0.284 0.366 
0.217 0.295 0.333 
0.551 0.284 0.497 
0.449 0.208 0.208 
0.334 0.295 0.333 
0.350 0.284 0.366 
0.534 0.306 0.361 
0.284 0.284 0.388 
0.684 0.295 0.344 
0.584 0.295 0.377 
0.751 0.262 0.262 
0.767 0.284 0.322 
0.717 0.295 0.552 
0.234 0.295 0.442 
0.251 0.306 0.470 
0.450 0.306 0.328 
0.634 0.284 0.399 
0.718 0.306 0.371 
0.534 0.284 0.399 
0.851 0.306 0.328 
0.784 0.197 0.197 
0.983 0.284 0.311 
0.634 0.284 0.442 
0.467 0.284 0.284 
0.283 0.295 0.344 
0.685 0.306 0.349 
0.818 0.306 0.502 
0.534 0.306 0.328 
0.283 0.284 0.388 
0.417 0.295 0.433 
0.317 0.307 0.415 
0.434 0.263 0.263 
0.550 0.295 0.399 
0.617 0.306 0.372 
0.567 0.296 0.355 
0.901 0.295 0.388 
0.617 0.263 0.263 
0.951 0.306 0.404 
0.718 0.284 0.453 
0.968 0.295 0.322 
0.400 0.284 0.651 
0.751 0.284 0.311 
0.434 0.295 0.377 
0.734 0.230 0.230 
0.751 0.306 0.338 
0.250 0.306 0.438 
0.400 0.295 0.295 
0.384 0.295 0.432 
0.734 0.295 0.311 
0.884 0.284 0.311 
0.484 0.285 0.410 
0.834 0.284 0.312 
0.750 0.284 0.344 
0.201 0.306 0.502 
0.684 0.296 0.421 
0.517 0.284 0.312 
0.934 0.262 0.262 
0.200 0.295 0.433 
0.568 0.295 0.441 
0.534 0.306 0.360 
0.568 0.296 0.343 
0.818 0.295 0.366 
0.467 0.284 0.388 
0.834 0.295 0.585 
0.584 0.295 0.650 
0.234 0.295 0.388 
0.350 0.284 0.311 
0.784 0.295 0.311 
0.584 0.295 0.442 
0.317 0.306 0.415 
0.468 0.306 0.436 
0.684 0.262 0.262 
0.350 0.295 0.410 
0.801 0.284 0.388 
0.400 0.296 0.296 
0.934 0.296 0.333 
0.417 0.295 0.552 
0.817 0.295 0.378 
0.349 0.295 0.399 
0.434 0.273 0.273 
0.283 0.285 0.421 
0.667 0.274 0.274 
0.751 0.284 0.284 
0.634 0.306 0.339 
0.550 0.263 0.263 
<><><><><><><><> 
Overall acc:  0.56    Male acc:  0.75    Fem acc:  0.38 
RT (mean):  0.35 
Consist:  0.16 
<><><><><><><><> 
End: 08-Mar-2014 11:17:26 
