<><><><><><><><> 
Begin: 16-Jul-2014 13:17:28 
0.567 1.661 1.661 
0.368 1.314 1.314 
0.518 1.008 1.008 
0.367 1.644 1.644 
0.400 1.302 1.302 
0.467 0.920 0.920 
0.468 1.347 1.347 
0.284 1.193 1.193 
0.350 1.727 1.727 
0.584 1.160 1.160 
0.534 1.051 1.051 
0.417 1.063 1.063 
0.467 0.777 0.777 
0.283 0.887 0.887 
0.517 0.843 0.843 
0.416 0.690 0.690 
<><><><><><><><> 
RT (mean):  1.13 
Consistency:  0.19 
Self Consistency:  0.83 
<><><><><><><><> 
End: 16-Jul-2014 13:25:08 
